J_Nombre,nombre,fecha_de_adquisicion,descripcion
gabrielavillarreal52,Logro_2_positive,2024-01-29,Role director maintain apply moment.
smithjuan53,Logro_0_anyone,2024-05-28,Entire discussion meet themselves most.
smithjuan53,Logro_1_career,2023-12-15,Should listen hotel understand market.
smithjuan53,Logro_2_chance,2024-09-12,Read whom hit.
stephanieflores54,Logro_0_improve,2024-02-28,Conference whom job those.
stephanieflores54,Logro_1_necessary,2024-01-15,Himself your material certainly our well.
stephanieflores54,Logro_2_identify,2024-08-11,Mean offer fact court say recently.
virginia7655,Logro_0_commercial,2024-11-11,Sometimes talk foreign service however game.
virginia7655,Logro_1_sit,2024-03-19,Wish recently take need reason news hundred.
virginia7655,Logro_2_whatever,2024-03-21,Million else page hold white member.
kpratt56,Logro_0_affect,2024-10-01,Take sound Congress condition environmental.
kpratt56,Logro_1_huge,2024-01-10,Language ability TV.
kpratt56,Logro_2_into,2024-03-11,Pick economy rate ball.
nancy7857,Logro_0_black,2024-03-10,Specific may home skin.
nancy7857,Logro_1_few,2024-11-03,Manager method everything score draw present probably.
nancy7857,Logro_2_its,2024-06-15,Choice risk in newspaper official news.
tammiebuck58,Logro_0_American,2024-06-01,Write tell show street lay place unit.
tammiebuck58,Logro_1_message,2024-07-02,Cup everyone main decision major.
tammiebuck58,Logro_2_section,2024-03-03,Next no opportunity state image base school.
gkrause59,Logro_0_with,2024-07-07,Medical common customer very bag.
gkrause59,Logro_1_general,2024-10-25,Moment but well future another fish yes.
gkrause59,Logro_2_paper,2024-01-22,Today government wall like form.
willie4660,Logro_0_process,2023-12-30,Member trade friend.
willie4660,Logro_1_method,2024-08-29,Group education reflect good bring.
willie4660,Logro_2_that,2024-02-08,Provide approach know bill movement each.
ebony8261,Logro_0_think,2024-02-14,If store word arrive entire.
ebony8261,Logro_1_perform,2024-05-03,Listen throw continue walk provide right.
ebony8261,Logro_2_ok,2024-09-22,Pull executive three past add.
ddiaz62,Logro_0_raise,2024-09-25,Message notice risk sure major yard green.
ddiaz62,Logro_1_thousand,2024-03-16,Money energy quite artist.
ddiaz62,Logro_2_cell,2024-11-12,Child whole character hear.
april9363,Logro_0_specific,2024-09-19,Off wind site fly side be best.
april9363,Logro_1_behavior,2023-12-18,Recognize positive speak occur.
april9363,Logro_2_then,2024-05-25,Thus range lead change discuss describe southern.
brian8464,Logro_0_newspaper,2023-12-28,Table letter cell wonder police your seat determine.
brian8464,Logro_1_interest,2024-10-21,Action enjoy American responsibility make appear.
brian8464,Logro_2_moment,2024-07-11,Middle network lay TV century American national.
ytaylor65,Logro_0_animal,2023-11-22,College gun type way realize example.
ytaylor65,Logro_1_rise,2023-12-19,Democrat large beyond energy pressure attorney little turn.
ytaylor65,Logro_2_side,2024-06-25,Mean hard window feel save election.
gsummers66,Logro_0_college,2024-02-21,Five state hear pick.
gsummers66,Logro_1_party,2024-06-05,Research develop foreign here cut.
gsummers66,Logro_2_appear,2024-07-15,Politics word attack face leave can.
uarroyo67,Logro_0_yeah,2024-08-16,We board cold whose about.
uarroyo67,Logro_1_federal,2024-04-29,School teach stand audience.
uarroyo67,Logro_2_available,2024-03-14,Radio prepare husband fact sound field.
xkennedy68,Logro_0_major,2023-11-24,That soldier pretty stay safe above.
xkennedy68,Logro_1_cost,2024-06-08,Wind chair some wait painting spring while couple.
xkennedy68,Logro_2_many,2024-10-06,Official task step two color mission.
pgiles69,Logro_0_push,2024-01-02,Join population major strategy book election.
pgiles69,Logro_1_level,2024-05-06,Action possible page great risk cost.
pgiles69,Logro_2_third,2023-11-28,Find both write.
oliverrachael70,Logro_0_political,2023-11-27,Senior some return degree.
oliverrachael70,Logro_1_already,2023-12-29,Part man hope hit.
oliverrachael70,Logro_2_home,2024-10-10,Feel eat chair.
hamiltonjoel71,Logro_0_onto,2024-09-28,Show subject trouble inside spring on test.
hamiltonjoel71,Logro_1_number,2024-09-26,Worker peace difference memory start century food candidate.
hamiltonjoel71,Logro_2_part,2024-01-26,When now soon page.
connieswanson72,Logro_0_future,2024-06-13,End serve last size certain style.
connieswanson72,Logro_1_series,2024-03-18,Pretty shoulder art road.
connieswanson72,Logro_2_between,2023-12-05,President stuff road environmental outside.
rogersstephanie73,Logro_0_magazine,2024-05-03,Others financial six career whose and.
rogersstephanie73,Logro_1_eight,2024-11-10,Magazine practice human.
rogersstephanie73,Logro_2_material,2024-03-24,Question gas environment.
evelynwhitney74,Logro_0_cut,2024-07-25,Thus conference bank area pay.
evelynwhitney74,Logro_1_continue,2024-01-14,Much individual glass note executive sing light.
evelynwhitney74,Logro_2_according,2024-10-30,Any more partner involve.
harristaylor75,Logro_0_traditional,2024-06-18,About either together artist within already nation.
harristaylor75,Logro_1_performance,2023-12-16,Drive song election ball.
harristaylor75,Logro_2_address,2024-06-16,Recognize section another how friend lose.
melissaperez76,Logro_0_close,2024-11-16,Despite necessary Mr director return memory need.
melissaperez76,Logro_1_top,2024-08-16,Phone get game every officer exist.
melissaperez76,Logro_2_add,2023-12-18,Reveal plan possible understand difficult four.
cprice77,Logro_0_health,2024-05-10,Speech away much inside.
cprice77,Logro_1_town,2024-01-03,Only guess market chance.
cprice77,Logro_2_firm,2024-01-14,Begin writer season recognize end.
ginamckenzie78,Logro_0_daughter,2024-01-31,Fear arm type kitchen tough national.
ginamckenzie78,Logro_1_organization,2024-07-19,Turn model realize specific.
ginamckenzie78,Logro_2_chair,2024-10-02,People different growth relate can under.
coxbradley79,Logro_0_section,2024-09-05,Phone with light.
coxbradley79,Logro_1_far,2024-06-08,Maintain lose over later be mouth country.
coxbradley79,Logro_2_end,2024-06-28,Reflect already eight these owner just choose.
pamela5580,Logro_0_around,2024-10-19,Edge nothing candidate lawyer purpose day.
pamela5580,Logro_1_leave,2024-06-26,Worker sea yourself but page finally.
pamela5580,Logro_2_raise,2023-12-10,Design last major.
johnsonwilliam81,Logro_0_there,2024-09-10,Anything magazine surface.
johnsonwilliam81,Logro_1_evidence,2024-08-20,Probably page conference.
johnsonwilliam81,Logro_2_listen,2024-03-06,Two address single often.
shawn7182,Logro_0_early,2024-04-26,However in agreement dinner check.
shawn7182,Logro_1_yes,2023-12-28,Across under wall hope red up since.
shawn7182,Logro_2_situation,2024-01-13,Police special reveal plan lose.
ismith83,Logro_0_capital,2024-10-16,Carry necessary will.
ismith83,Logro_1_trial,2024-06-13,Activity likely herself general central.
ismith83,Logro_2_real,2024-04-16,Wish wear unit total return together grow center.
robert9484,Logro_0_interview,2024-05-15,Fire this door.
robert9484,Logro_1_truth,2024-06-18,Story family sometimes bank world.
robert9484,Logro_2_pass,2024-07-31,At soon quite court.
jordan7685,Logro_0_project,2024-03-20,Others spend thought stage blue song.
jordan7685,Logro_1_politics,2024-09-20,Job understand house argue plan and operation.
jordan7685,Logro_2_job,2024-01-24,We next piece beyond next stock.
belldonald86,Logro_0_million,2024-04-24,Lay prepare politics several condition time morning.
belldonald86,Logro_1_event,2024-09-15,Itself population push service center not.
belldonald86,Logro_2_cost,2024-05-07,Article any teach fish.
cindygreen87,Logro_0_benefit,2024-03-06,Tv account commercial.
cindygreen87,Logro_1_during,2024-09-26,Hour population recent.
cindygreen87,Logro_2_watch,2024-06-10,Economic avoid sign someone.
gwebb88,Logro_0_serve,2024-03-07,Couple whatever ability democratic.
gwebb88,Logro_1_music,2024-02-18,Look range ago young west.
gwebb88,Logro_2_sound,2024-03-08,Sure parent institution.
dcantrell89,Logro_0_chair,2024-05-20,Feel think clear experience gas exactly left participant.
dcantrell89,Logro_1_investment,2024-05-27,Own think specific office sign.
dcantrell89,Logro_2_economy,2024-03-21,Could music change run.
helliott90,Logro_0_quality,2024-01-19,Experience health officer house.
helliott90,Logro_1_nature,2024-10-26,Somebody table everything prevent term us stage less.
helliott90,Logro_2_authority,2024-02-18,Century blue material leader pick.
amanda9091,Logro_0_require,2024-09-29,Break bag space party season woman.
amanda9091,Logro_1_hour,2024-04-13,East with these certainly citizen.
amanda9091,Logro_2_officer,2024-07-13,Truth concern rock believe financial stuff.
jessicaburton92,Logro_0_through,2024-03-14,Indicate try it human couple establish.
jessicaburton92,Logro_1_attention,2024-09-30,Want instead individual American surface.
jessicaburton92,Logro_2_computer,2024-02-03,On story too if enough.
inolan93,Logro_0_month,2024-01-21,Lot system rich standard cell friend.
inolan93,Logro_1_subject,2024-04-27,Stage benefit article direction third.
inolan93,Logro_2_score,2023-12-23,Take have power claim.
barnesronald94,Logro_0_remain,2024-04-14,Suddenly left paper information stage politics single attention.
barnesronald94,Logro_1_decision,2024-05-21,Yourself trip human church partner turn stage.
barnesronald94,Logro_2_else,2024-02-04,Machine send opportunity their occur example remain.
nataliereyes95,Logro_0_so,2024-09-27,Less listen miss color heavy feeling sing.
nataliereyes95,Logro_1_the,2024-08-10,Program bring go prevent very place race.
nataliereyes95,Logro_2_let,2024-02-26,Training important husband yard join.
gluna96,Logro_0_hit,2024-02-12,Hold current between coach total any ago.
gluna96,Logro_1_mission,2024-07-31,Into early young indeed whom key.
gluna96,Logro_2_open,2024-03-13,Quite skill international system.
tcole97,Logro_0_nor,2024-10-16,Chance stuff at newspaper opportunity skin about simply.
tcole97,Logro_1_live,2024-06-19,Short produce himself and.
tcole97,Logro_2_industry,2024-02-21,Culture wonder baby.
robertallen98,Logro_0_worry,2024-02-11,Allow participant trouble pick wait leg.
robertallen98,Logro_1_too,2023-12-22,Finally enjoy safe threat cut.
robertallen98,Logro_2_think,2024-11-07,Make machine several during another discussion sit newspaper.
livingstonalyssa99,Logro_0_difficult,2023-11-22,Pm central kid yourself as institution.
livingstonalyssa99,Logro_1_environment,2024-02-28,Act use increase.
livingstonalyssa99,Logro_2_politics,2024-09-22,Several trouble production use know left.
smithsara100,Logro_0_wear,2024-10-01,Kid system walk increase unit little.
smithsara100,Logro_1_similar,2024-11-10,Network different Mr TV low lay activity pull.
smithsara100,Logro_2_budget,2024-02-09,Ask by television dream side right.
jeremy56101,Logro_0_condition,2024-11-12,Detail door indicate knowledge head appear.
jeremy56101,Logro_1_sea,2024-01-02,North message charge force still along around.
jeremy56101,Logro_2_last,2024-09-08,International theory both write better born enter avoid.
crystaltorres102,Logro_0_low,2023-12-11,Bed because over poor.
crystaltorres102,Logro_1_very,2024-08-05,Final though activity feeling animal human.
crystaltorres102,Logro_2_fund,2024-11-01,Discussion strong thus than just who if.
cduarte103,Logro_0_area,2024-10-03,Keep change deep off.
cduarte103,Logro_1_ago,2023-11-30,Fight smile at job health hotel our.
cduarte103,Logro_2_approach,2024-02-22,Player poor window writer number future manager toward.
esosa104,Logro_0_tax,2024-05-24,Adult mind eat event daughter treatment development level.
esosa104,Logro_1_high,2024-06-29,Upon feeling will minute situation.
esosa104,Logro_2_prove,2024-08-02,Player according behind area change.
kristin10105,Logro_0_fish,2024-05-15,Building rule much brother black tax theory.
kristin10105,Logro_1_number,2024-08-22,Anything member these affect themselves role.
kristin10105,Logro_2_cause,2024-04-12,Education contain area everybody.
paigele106,Logro_0_Republican,2024-02-04,Doctor explain out church bill must clear whatever.
paigele106,Logro_1_indeed,2023-11-28,Loss just above ball feeling.
paigele106,Logro_2_wonder,2024-09-07,Decide forget mouth within return than.
harriserin107,Logro_0_however,2024-06-02,Rather room across production whole.
harriserin107,Logro_1_student,2024-09-04,Challenge analysis financial what.
harriserin107,Logro_2_hospital,2024-03-07,Believe current memory onto challenge still.
becky96108,Logro_0_risk,2024-06-19,Democratic production cost about note resource office sort.
becky96108,Logro_1_election,2024-04-08,Service purpose draw site citizen Democrat.
becky96108,Logro_2_sure,2024-02-10,Eye production challenge next.
steven41109,Logro_0_agency,2024-07-26,Actually central choose people under where sound.
steven41109,Logro_1_class,2024-09-05,Quite this cup prevent.
steven41109,Logro_2_billion,2024-03-19,Here service organization city.
lisamckenzie110,Logro_0_economy,2024-04-24,Hair fast stage any themselves laugh general.
lisamckenzie110,Logro_1_notice,2023-12-23,Play various evidence turn administration.
lisamckenzie110,Logro_2_able,2024-09-16,Item lot section ago beat evidence ball.
wreynolds111,Logro_0_fine,2024-06-27,Sing effort early mind smile risk necessary.
wreynolds111,Logro_1_course,2024-04-22,Water economy enter thousand worker.
wreynolds111,Logro_2_represent,2024-02-15,Support rise now force ever yard economy.
stewartjose112,Logro_0_reveal,2024-03-31,Marriage window alone wide always late unit white.
stewartjose112,Logro_1_world,2023-12-08,Red nature throughout not.
stewartjose112,Logro_2_happy,2024-09-24,Realize best quickly visit have.
bwhite113,Logro_0_box,2024-05-13,Week public term her lose stay nature.
bwhite113,Logro_1_myself,2024-01-02,He tough assume mention.
bwhite113,Logro_2_main,2024-09-27,Forward she lead carry its hair.
hvalencia114,Logro_0_life,2024-04-07,North military kid history reality class learn town.
hvalencia114,Logro_1_energy,2024-03-12,Bag necessary act long sport area.
hvalencia114,Logro_2_environment,2024-04-20,Loss hair store and worry trouble tonight.
ywright115,Logro_0_for,2024-06-12,Life cold visit approach majority number act.
ywright115,Logro_1_morning,2024-02-09,Article popular institution cover theory wife respond.
ywright115,Logro_2_open,2024-01-04,Director sit current magazine against court make.
browncorey116,Logro_0_child,2024-05-15,Think voice number maybe region movement.
browncorey116,Logro_1_majority,2024-08-01,Force interview son share carry.
browncorey116,Logro_2_me,2024-01-02,Close race allow expert.
posborne117,Logro_0_natural,2024-05-31,Determine mean natural.
posborne117,Logro_1_field,2024-05-19,Executive economy letter pay make special.
posborne117,Logro_2_foreign,2023-11-26,North audience race parent should reduce head.
carlsonchristopher118,Logro_0_manager,2023-12-03,Activity dinner visit fall information.
carlsonchristopher118,Logro_1_market,2024-03-15,Control hear walk nothing who.
carlsonchristopher118,Logro_2_meet,2024-03-11,Allow model new oil.
wendyochoa119,Logro_0_both,2024-10-18,Because mother when stand.
wendyochoa119,Logro_1_of,2024-06-08,Leave move table office.
wendyochoa119,Logro_2_perhaps,2024-10-06,Season draw professional black ok.
brian13120,Logro_0_save,2024-09-30,Rock start practice partner section trial.
brian13120,Logro_1_but,2024-05-14,Beyond necessary product ball law half.
brian13120,Logro_2_huge,2024-07-21,Onto always usually case.
jacobpeterson121,Logro_0_son,2024-04-11,Beautiful agree space onto.
jacobpeterson121,Logro_1_big,2024-03-01,Current hope responsibility each oil.
jacobpeterson121,Logro_2_admit,2024-04-30,Country detail perhaps that tell green want factor.
vasquezantonio122,Logro_0_hand,2024-02-27,Rock act speak participant ten.
vasquezantonio122,Logro_1_pay,2024-04-22,Employee gun physical reduce matter Democrat work.
vasquezantonio122,Logro_2_discussion,2024-01-26,Prove usually this let fast turn.
terribarnes123,Logro_0_probably,2024-09-17,Evening to south west for anything my.
terribarnes123,Logro_1_painting,2024-01-09,Chair start exist high floor strategy your.
terribarnes123,Logro_2_kind,2024-01-29,Raise born inside these change.
tuckerjudith124,Logro_0_for,2024-03-11,Pretty hair new Mrs.
tuckerjudith124,Logro_1_after,2024-08-04,Account field Congress.
tuckerjudith124,Logro_2_condition,2024-11-11,Form identify fear I school case.
pamcoleman125,Logro_0_support,2024-10-16,Tonight drug work race five success.
pamcoleman125,Logro_1_inside,2024-08-19,Care kid specific hair hope unit daughter rich.
pamcoleman125,Logro_2_race,2024-04-07,Party anything better air.
natalie90126,Logro_0_first,2024-05-26,Single factor head.
natalie90126,Logro_1_yard,2024-02-02,Thousand center worker election share.
natalie90126,Logro_2_who,2024-11-03,Down contain husband central perform there rise.
mmiller127,Logro_0_rich,2024-08-12,Market evening whatever green summer truth.
mmiller127,Logro_1_after,2024-09-16,Rise power economy big nor.
mmiller127,Logro_2_born,2024-06-09,West may happy economic.
laurastevenson128,Logro_0_adult,2024-02-17,Across when leader these hold bad.
laurastevenson128,Logro_1_until,2024-04-12,Task idea write something author child.
laurastevenson128,Logro_2_experience,2024-10-10,Democratic guess doctor.
ryanhartman129,Logro_0_in,2024-02-01,Parent skill discover official huge eye.
ryanhartman129,Logro_1_school,2023-12-12,Without later away lead.
ryanhartman129,Logro_2_wide,2024-08-19,Husband book test guy imagine yard.
marisarobinson130,Logro_0_by,2024-02-01,No write almost exactly article large smile.
marisarobinson130,Logro_1_option,2024-10-27,Theory consumer international base.
marisarobinson130,Logro_2_dinner,2024-10-22,Simply treat energy my.
lauren91131,Logro_0_second,2024-03-11,Mention two white kitchen western.
lauren91131,Logro_1_hit,2024-01-15,Air no you find least.
lauren91131,Logro_2_often,2024-04-29,Position able billion.
rgarcia132,Logro_0_nearly,2024-05-23,Have sound reach hand a already.
rgarcia132,Logro_1_until,2024-08-09,Election new agency pretty.
rgarcia132,Logro_2_mother,2024-10-18,Here machine allow not coach loss.
dnicholson133,Logro_0_employee,2024-03-19,Young report seek voice woman find.
dnicholson133,Logro_1_serve,2023-12-23,Significant hotel doctor character religious week bed.
dnicholson133,Logro_2_pull,2023-12-15,Management international week institution good yes majority.
weberethan134,Logro_0_under,2024-08-16,Account ever politics blue woman turn.
weberethan134,Logro_1_heart,2023-12-11,Likely defense can another what serious.
weberethan134,Logro_2_single,2024-01-24,Himself have recent rest kid production determine stop.
